Topic,Count,Name,x,y,h,s,v,label
0,90,biological_metabolic_gene_protein_data_analysis_cytoscape_network_molecular_base,10.143941,13.436801,52.9,0.9688346791222796,1,4
1,61,social_social networks_twitter_analysis_base_user_information,-8.9052925,-8.225678,222.7,0.6976250668244881,1,1
2,38,graph_large_interactive_cluster_java_distribute_scale_algorithm_gmine_data,4.4208555,5.956868,53.4,0.4268806125128945,1,6
3,65,node_dynamic_temporal_network_time_layout_approach_spatial_pattern,10.423361,13.291192,51.9,0.9719998792824632,1,4
4,39,citation_research_bibliometric_document_science_scientific_altmetric_analysis_influence_researcher,-8.200333,-8.931454,227.4,0.697744484394612,1,1
5,115,command control_intelligence_nsx_visualization_research_security_information_review_nsx intelligence,-8.485562,-8.645768,225.5,0.6971218470703949,1,1
6,88,software engineering_sequence counter_software_graph_sequence_application_interactive_control,4.3848157,6.5996695,56.4,0.4559655652106428,1,0
7,21,supply chain_method_plan_apparatus_computer_display_terminal_virtual,-11.555874,11.121311,136.1,0.9229272995847644,1,2
8,130,seismic data_dimensional seismic_3d_wilmascope_visualization_3d visualisation_breast_highlight,3.9006734,5.672142,55.5,0.3961410631756017,1,6
9,17,overall quality_visualization_quality_cognitive_criterion_user_aesthetic_evaluation_evaluate,15.986616,-2.958948,349.5,0.9355879108314626,1,3
10,38,neural_convolutional_convolutional neural_cnn_learn_adversarial_image_neural networks_method_interpretability,9.94603,13.645195,53.9,0.9716806332400312,1,4
11,15,gvsr_requirement_design_software_gldraw_cgv_definition_architecture_graph,4.0516047,6.330714,57.4,0.4325264120273496,1,0
12,32,edge_confluent drawings_bundling_edge bundling_confluent_power_unambiguous edge_bundling investigating,15.495203,-3.1357307,348.6,0.9097590773674724,1,3
13,52,survey empirical_complexity_limit_limits complexity_studies visualisation_empirical studies_exploring limits_complexity survey_urban,10.821583,13.596675,51.5,1.0,1,4
14,13,circular_select_portion_display_user_element_node_plurality_optical_graphical,-11.4652,11.213077,135.6,0.9228593474448292,1,2
15,12,power_power flow_module_method_transformation_power grid_fa_action_base,4.4984574,6.502595,55.3,0.4550117603393025,1,0
16,12,ggplot2_substrate_link_n2c_mapper_3d_node_canvas_node link_network,10.559074,13.719833,52.4,0.9962702873728532,1,4
17,11,algorithm_force_direct_force directed_directed algorithms_forceatlas2_china_drawing social_speed drawing,15.305903,-3.046641,348.7,0.8980697835086348,1,3
18,25,dynamic_dynamic graphs_visual features_time_timeslices_visual_data_event based,4.307149,6.849956,57.8,0.4656355889322123,1,0
19,11,sensor_wireless_zigbee_zigbee sensor_wireless sensor_platform_underwater_data_simulation_monitoring,-11.374458,11.303602,135.2,0.9227979960350428,1,2
20,10,distribution_power_module_ventilation_voltage_power distribution_photograph_real time_data_video,-11.237119,11.437157,134.5,0.9226754217647336,1,2
21,59,web site_ontology_ontograph_knowledge_based summarized_summarized view_site_information_ontology based,4.938456,5.7833686,49.5,0.4376345681946867,1,5
22,27,axis coordinate_embed_graph_axis_draw_distance_curve_problem_curving axis,15.616795,-3.415857,347.7,0.919927439444494,1,3
23,8,quality_immersive_sphere_mental_maps immersive_cognitive style_study mental_mental maps_visualization_inner sphere,-8.707002,-8.4241295,224.1,0.6971783134019325,1,1
24,7,tree_adaptive_planar_approximate_approximate function_visibility_table_visibility representations_approach large_learning approach,15.122321,-3.4170184,347.3,0.8921651752245036,1,3
25,19,humanity_seminar_18482_seminar 18482_complex_digital humanities_xe2x80x93_dagstuhl seminar_crisis historiography_lehrveranstaltung,-8.168899,-8.962881,227.7,0.6978579405644618,1,1
26,7,evaluation_variable_vls_disassembly_use_result_technique_partially_user evaluations_coverage,15.978857,-2.6622462,350.5,0.9321911838784408,1,3
27,70,task_group level_temporal visualisation_taxonomy_task taxonomy_design space,4.7383704,5.3913116,48.7,0.4130425395832373,1,5
28,7,high speed_shadowgraph_pulsejet_flow_vortex_speed shadowgraph_valveless_instability,3.742588,5.509374,55.8,0.383274747382425,1,6
29,31,community structure_community_trust_platform_hierarchical_multi layer_force_force directed_algorithm,10.264684,13.11947,52.0,0.9585897359260708,1,4
30,14,symposium drawing_international symposium_gd_proceeding_drawing gd_2018_26th international,16.214895,-3.1169572,349.1,0.950182455468193,1,3
31,21,traffic data_website traffic_taste_music_web_library_viewshare,4.986289,5.654152,48.6,0.4338224773911704,1,5
32,6,rdf_knowledge_extraction_knowledge extraction_rdf knowledge_knowledge knowledge_easy_radius degree_extraction rdf_rdl,5.1593447,5.403098,46.3,0.4299110451829969,1,5
